key,value,ci_lo,ci_hi,n,units,source,note
exp10.K1.rmse_causal_minus_p10,-0.0288444747062314,-0.0294261706296837,-0.0282627787827791,50,m,results/exp10a_final_validation/2026-08-27_091546,"Nominal Stressed, paired, directional < 0"
exp10.K2a.data_causal_minus_p20_packets,-501.82,-503.204783961958,-500.435216038042,50,packets,results/exp10a_final_validation/2026-08-27_091546,"no direction"
exp10.K2a.data_causal_minus_p20_hz,-16.7273333333337,-16.7734927987323,-16.6811738679351,50,Hz,results/exp10a_final_validation/2026-08-27_091546,"no direction"
exp10.K2b.total_w025_causal_minus_p20_packets,320.23,317.638105789999,322.821894210001,50,packets,results/exp10a_final_validation/2026-08-27_091546,"DATA + 0.25 ACK"
exp10.K2b.total_w025_causal_minus_p20_hz,10.674333333333,10.5879368596663,10.7607298069997,50,Hz,results/exp10a_final_validation/2026-08-27_091546,"DATA + 0.25 ACK"
exp10.nominal.clean.P10.rmse_mean,0.0361460400730118,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P10.rmse_std,2.56459005779348e-05,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P10.data_hz,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P10.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P10.total_w025,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P20.rmse_mean,0.0253797782575351,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P20.rmse_std,2.54079075356217e-06,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P20.data_hz,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P20.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.P20.total_w025,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.State_event.rmse_mean,0.0823051474578866,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.State_event.rmse_std,0,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.State_event.data_hz,43.4333333333333,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.State_event.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.State_event.total_w025,43.4333333333333,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.Causal_v3.rmse_mean,0.0413792333665601,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.Causal_v3.rmse_std,7.00934133340971e-18,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.Causal_v3.data_hz,84.4666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.Causal_v3.ack_hz,84.4666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.clean.Causal_v3.total_w025,105.583333333333,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
